,race,gender,age,filename,database
1499,0,1,24,234255_00M24.JPG,morph
3938,0,1,25,202662_00M25.JPG,morph
3888,0,1,24,245925_02M24.JPG,morph
1189,0,1,20,297766_10M20.JPG,morph
3321,0,0,34,188129_00F34.JPG,morph
4963,0,1,31,328895_01M31.JPG,morph
510,0,0,47,055507_1F47.JPG,morph
470,0,1,42,128551_2M42.JPG,morph
4323,0,1,37,156302_02M37.JPG,morph
2309,0,1,19,309751_02M19.JPG,morph
640,0,1,17,322188_00M17.JPG,morph
374,0,1,47,315925_01M47.JPG,morph
1451,0,1,27,301817_06M27.JPG,morph
2312,0,0,19,336162_06F19.JPG,morph
5365,0,0,28,265855_01F28.JPG,morph
4,0,0,47,257517_03F47.JPG,morph
1369,0,1,21,301523_03M21.JPG,morph
1825,0,1,33,117513_0M33.JPG,morph
2495,0,0,39,143353_03F39.JPG,morph
5094,0,1,40,071118_4M40.JPG,morph
906,0,1,28,212122_02M28.JPG,morph
4556,0,1,46,053653_0M46.JPG,morph
3726,0,1,40,111333_2M40.JPG,morph
1801,0,0,44,134448_06F44.JPG,morph
203,0,1,51,308573_01M51.JPG,morph
1088,0,1,41,116294_01M41.JPG,morph
129,0,1,39,066009_8M39.JPG,morph
3520,0,1,40,076525_0M40.JPG,morph
4878,0,1,19,301603_04M19.JPG,morph
1945,0,1,46,051768_2M46.JPG,morph
4068,0,1,44,116170_0M44.JPG,morph
3199,0,0,39,120473_08F39.JPG,morph
4691,0,1,34,123618_3M34.JPG,morph
3144,0,1,18,328153_00M18.JPG,morph
3586,0,1,46,051962_3M46.JPG,morph
4030,0,1,34,179647_00M34.JPG,morph
125,0,0,39,078342_1F39.JPG,morph
5192,0,1,32,129946_0M32.JPG,morph
5185,0,1,22,254310_04M22.JPG,morph
5582,0,1,35,288523_05M35.JPG,morph
2905,0,1,32,149052_00M32.JPG,morph
1565,0,1,27,213102_06M27.JPG,morph
1329,0,1,51,114139_03M51.JPG,morph
1236,0,1,58,128373_1M58.JPG,morph
2322,0,0,32,138704_1F32.JPG,morph
3819,0,0,36,188808_01F36.JPG,morph
5722,0,1,49,051283_16M49.JPG,morph
4033,0,1,35,089419_0M35.JPG,morph
1378,0,0,38,314597_01F38.JPG,morph
4246,0,1,29,168640_00M29.JPG,morph
330,0,1,22,282575_01M22.JPG,morph
3868,0,0,43,076627_1F43.JPG,morph
